nombre,ciudad,pais,direccion,telefono,whatsapp,web,google_maps_url,estado
"DiBian Odontologia","Buenos Aires","Argentina","Virrey del Pino 2457 Piso 11, Depto A, C1426 Cdad. Autónoma de Buenos Aires","01128925904","01128925904","https://dibianodontologia.com.ar/","https://www.google.com/maps/place/DiBian+Odontologia/data=!4m7!3m6!1s0x95bcb5f163b071d5:0x45df8b0665d3950c!8m2!3d-34.5665375!4d-58.4532844!16s%2Fg%2F11s8kcdvpp!19sChIJ1XGwY_G1vJURDJXTZQaL30U?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"AR Dental - Odontologia Belgrano","Buenos Aires","Argentina","Av. Olazábal 1515, C1428 Cdad. Autónoma de Buenos Aires","0111544955855","0111544955855","https://ardental.com.ar/","https://www.google.com/maps/place/AR+Dental+-+Odontologia+Belgrano/data=!4m7!3m6!1s0x95bcb5912486e1bb:0x41b5bcdc1aa8939!8m2!3d-34.5548783!4d-58.4498029!16s%2Fg%2F11n596jxtr!19sChIJu-GGJJG1vJUROYmqwc1bGwQ?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Belgrano Studio Dental","Buenos Aires","Argentina","Zapiola 1595, C1426 Cdad. Autónoma de Buenos Aires","01125783078","01125783078","https://www.belgranostudiodental.com/","https://www.google.com/maps/place/Belgrano+Studio+Dental/data=!4m7!3m6!1s0x95bcb56f81bbae73:0x384d76923fc30bfc!8m2!3d-34.5708273!4d-58.457932!16s%2Fg%2F11shprmcmp!19sChIJc667gW-1vJUR_AvDP5J2TTg?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicóloga Carolina Saidon","Buenos Aires","Argentina","Cdad. de la Paz 1948, C1428 Cdad. Autónoma de Buenos Aires","01159276741","01159276741","","https://www.google.com/maps/place/Psic%C3%B3loga+Carolina+Saidon/data=!4m7!3m6!1s0x95bcb52f5b3cace9:0xbad71e2062c3d21a!8m2!3d-34.5642464!4d-58.456562!16s%2Fg%2F11s7jsxd21!19sChIJ6aw8Wy-1vJURGtLDYiAe17o?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Lic. Facundo Stefanini - Psicólogo en Belgrano R","Buenos Aires","Argentina","Puente del Inca 4055, C1426 Cdad. Autónoma de Buenos Aires","02664205922","02664205922","https://www.instagram.com/psicoterapiafs/","https://www.google.com/maps/place/Lic.+Facundo+Stefanini+-+Psic%C3%B3logo+en+Belgrano+R/data=!4m7!3m6!1s0x95bcb5d6fdbd0d69:0x75d2888638d8ab38!8m2!3d-34.5737361!4d-58.4710349!16s%2Fg%2F11v62zm9p5!19sChIJaQ29_da1vJUROKvYOIaI0nU?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Lic. Daniel O. Bustamante - Psicología Clínica.","Buenos Aires","Argentina","Blanco Encalada 2387 Piso 4º - Dpto. ""E, C1428DDK Cdad. Autónoma de Buenos Aires","0111533101186","0111533101186","https://licbustamante.com.ar/","https://www.google.com/maps/place/Lic.+Daniel+O.+Bustamante+-+Psicolog%C3%ADa+Cl%C3%ADnica./data=!4m7!3m6!1s0x95bcb42b39be06f5:0x727191d7b4817911!8m2!3d-34.5589545!4d-58.4587954!16s%2Fg%2F1td3msgw!19sChIJ9Qa-OSu0vJUREXmBtNeRcXI?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Decires","Buenos Aires","Argentina","Blanco Encalada 2590 Planta Baja, Dpto B, C1428 Cdad. Autónoma de Buenos Aires","01140698762","01140698762","https://www.instagram.com/decirespsico/?hl=es-la","https://www.google.com/maps/place/Decires/data=!4m7!3m6!1s0x95bcb57ccd1155b9:0x2813473fc73d778d!8m2!3d-34.5603539!4d-58.4608613!16s%2Fg%2F11hg4hfmhy!19sChIJuVURzXy1vJURjXc9xz9HEyg?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Guillermo Beiro_Psicología en Belgrano","Buenos Aires","Argentina","Cdad. de la Paz 1735, C1426BVT Cdad. Autónoma de Buenos Aires","01156332862","01156332862","","https://www.google.com/maps/place/Guillermo+Beiro_Psicolog%C3%ADa+en+Belgrano/data=!4m7!3m6!1s0x95bcb58ea5ca095b:0x3900d49c8f51bfa1!8m2!3d-34.565891!4d-58.454705!16s%2Fg%2F11zcq7m79d!19sChIJWwnKpY61vJURob9Rj5zUADk?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicóloga / Lic. Agustina Gutiérrez","Buenos Aires","Argentina","C1428ADH CABA AR, Vuelta de Obligado 2166, C1428 ADH","0111564629609","0111564629609","","https://www.google.com/maps/place/Psic%C3%B3loga+%2F+Lic.+Agustina+Guti%C3%A9rrez/data=!4m7!3m6!1s0x95bcca825349f191:0xa3f39ca8dc393fe0!8m2!3d-34.560932!4d-58.4563335!16s%2Fg%2F11d_8ddh9y!19sChIJkfFJU4LKvJUR4D853Kic86M?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Centro Jose Maldonado Almagro","Buenos Aires","Argentina","Av. Medrano 475 Piso 3 Dto A, C1179 Cdad. Autónoma de Buenos Aires","0111527789066","0111527789066","https://centrojosemaldonado.com.ar/","https://www.google.com/maps/place/Centro+Jose+Maldonado+Almagro/data=!4m7!3m6!1s0x95bccb542206e36d:0xb6832b39a8f4c52c!8m2!3d-34.605262!4d-58.421078!16s%2Fg%2F11rzwtlj0m!19sChIJbeMGIlTLvJURLMX0qDkrg7Y?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"En Cuerpo y Alma Nutricion","Buenos Aires","Argentina","Av Acoyte 200, Av. Avellaneda 1000, C1416 Buenos Aires","01135633078","01135633078","https://instagram.com/encuerpoyalmanutricion?utm_medium=copy_link","https://www.google.com/maps/place/En+Cuerpo+y+Alma+Nutricion/data=!4m7!3m6!1s0x95bccba572aa18a1:0x4c49d75a5e4de43a!8m2!3d-34.6160922!4d-58.4377796!16s%2Fg%2F11g_x0vdnt!19sChIJoRiqcqXLvJUROuRNXlrXSUw?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Centro de Nutrición Franco Diaz","Buenos Aires","Argentina","Av. Ángel Gallardo 1084, C1084 Cdad. Autónoma de Buenos Aires","01138453910","01138453910","","https://www.google.com/maps/place/Centro+de+Nutrici%C3%B3n+Franco+Diaz/data=!4m7!3m6!1s0x95bccb16ec8df8d7:0x9a62c0779b2ede9c!8m2!3d-34.607304!4d-58.4449503!16s%2Fg%2F11xlj11r3c!19sChIJ1_iN7BbLvJURnN4um3fAYpo?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Nutrición MC","Buenos Aires","Argentina","Bogotá 1678, C1406 Cdad. Autónoma de Buenos Aires","0111564855933","0111564855933","https://www.instagram.com/nutricion.mc","https://www.google.com/maps/place/Nutrici%C3%B3n+MC/data=!4m7!3m6!1s0x95bcb5955017b97f:0x8797dbd68ac52494!8m2!3d-34.6220118!4d-58.4541267!16s%2Fg%2F11rhq38d38!19sChIJf7kXUJW1vJURlCTFitbbl4c?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Centro de Nutrición Deportiva Agus Taramasco","Buenos Aires","Argentina","Cachimayo 392, 1424 Cdad. Autónoma de Buenos Aires","0111573616814","0111573616814","https://www.instagram.com/agustaramasco.nd/","https://www.google.com/maps/place/Centro+de+Nutrici%C3%B3n+Deportiva+Agus+Taramasco/data=!4m7!3m6!1s0x95bccbe78bdf643d:0x48de6a88cb2b3a0e!8m2!3d-34.624841!4d-58.4415338!16s%2Fg%2F11q93_qgx0!19sChIJPWTfi-fLvJURDjory4hq3kg?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"NDA Nutrición en Acción","Buenos Aires","Argentina","Cuerpo 2, Av. Rivadavia 5474 Piso 7 - Depto A, C1424 Cdad. Autónoma de Buenos Aires","01150367198","01150367198","https://www.nda.com.ar/","https://www.google.com/maps/place/NDA+Nutrici%C3%B3n+en+Acci%C3%B3n/data=!4m7!3m6!1s0x95bccb1412e44599:0x611a098c56973674!8m2!3d-34.6212056!4d-58.4422665!16s%2Fg%2F11wxb89bsj!19sChIJmUXkEhTLvJURdDaXVowJGmE?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Odontólogo Caballito","Buenos Aires","Argentina","Hidalgo 915, C1405 Cdad. Autónoma de Buenos Aires","01161976946","01161976946","https://www.facebook.com/odontologiamatiasfernandez/","https://www.google.com/maps/place/Odont%C3%B3logo+Caballito/data=!4m7!3m6!1s0x95bcca13401a0d11:0x91f7df49c91ebbc5!8m2!3d-34.6085023!4d-58.4413633!16s%2Fg%2F11cmw9js6k!19sChIJEQ0aQBPKvJURxbseyUnf95E?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"ODONTOLOGIA CABALLITO implantes dentales","Buenos Aires","Argentina","Av. Rivadavia 4704 1 c, C1424 Cdad. Autónoma de Buenos Aires","01136171213","01136171213","http://www.odontologiacaballito.com/","https://www.google.com/maps/place/ODONTOLOGIA+CABALLITO+implantes+dentales/data=!4m7!3m6!1s0x95bcca4382818a1f:0x8ec7e410d7f521fb!8m2!3d-34.6163452!4d-58.4316107!16s%2Fg%2F11f2wcl2h9!19sChIJH4qBgkPKvJUR-yH11xDkx44?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Centro Odontológico Acoyte","Buenos Aires","Argentina","Av. Acoyte 565, C1405 Cdad. Autónoma de Buenos Aires","01149581754","01149581754","http://www.odontologiacoyte.com.ar/","https://www.google.com/maps/place/Centro+Odontol%C3%B3gico+Acoyte/data=!4m7!3m6!1s0x95bcca6ae831d001:0x958b56fa03f4b378!8m2!3d-34.6118848!4d-58.4386201!16s%2Fg%2F1tfgk_p4!19sChIJAdAx6GrKvJUReLP0A_pWi5U?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"OdontoCi","Buenos Aires","Argentina","Rosario 743 PB ""2, C1424 ⁠ ⁠⁠Buenos Aires, Cdad. Autónoma de Buenos Aires","01130111440","01130111440","https://www.odontoci.com/","https://www.google.com/maps/place/OdontoCi/data=!4m7!3m6!1s0x95bccb26af1d1f79:0x1fd48637a0103154!8m2!3d-34.6202755!4d-58.4393975!16s%2Fg%2F11h_18t9cn!19sChIJeR8drybLvJURVDEQoDeG1B8?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Dental Odontologia Caballito (No es Dental System)","Buenos Aires","Argentina","Pje. Dr. Gregorio Aráoz Alfaro 437, C1405 Cdad. Autónoma de Buenos Aires","01163746581","01163746581","http://www.dentalcaballito.com.ar/","https://www.google.com/maps/place/Dental+Odontologia+Caballito+%28No+es+Dental+System%29/data=!4m7!3m6!1s0x95bccb5c7bee2b9d:0x1bf321b6d6216d27!8m2!3d-34.615516!4d-58.436855!16s%2Fg%2F11v5g2p1ny!19sChIJnSvue1zLvJURJ20h1rYh8xs?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Centro Odontológico Caballito","Buenos Aires","Argentina","San, San José de Calasanz 147 3 b, C1002 Cdad. Autónoma de Buenos Aires","01159513601","01159513601","https://www.facebook.com/105500441947554","https://www.google.com/maps/place/Centro+Odontol%C3%B3gico+Caballito/data=!4m7!3m6!1s0x95bccba013e4674d:0x7d0019a17ff6bcc1!8m2!3d-34.6208496!4d-58.4387245!16s%2Fg%2F11pcx3r95s!19sChIJTWfkE6DLvJURwbz2f6EZAH0?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicólogo UBA- Lic. Gerardo Gómez","Buenos Aires","Argentina","Av. Hipólito Yrigoyen 3375, C1236 Cdad. Autónoma de Buenos Aires","0111565109223","0111565109223","http://www.tupsicoterapia.com.ar/","https://www.google.com/maps/place/Psic%C3%B3logo+UBA-+Lic.+Gerardo+G%C3%B3mez/data=!4m7!3m6!1s0x95bccaf68a7372ad:0x2b5bb3af40a68d0c!8m2!3d-34.612788!4d-58.414497!16s%2Fg%2F1vp74zk0!19sChIJrXJzivbKvJURDI2mQK-zWys?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Christian Psicólogo Caballito","Buenos Aires","Argentina","José Bonifacio 704, C1424 Cdad. Autónoma de Buenos Aires","01132615788","01132615788","https://krizz75.wixsite.com/christianpsicologo","https://www.google.com/maps/place/Christian+Psic%C3%B3logo+Caballito/data=!4m7!3m6!1s0x95bccb6ab7efe0b9:0x661e213044fc813e!8m2!3d-34.627387!4d-58.4376001!16s%2Fg%2F11ngthv_gl!19sChIJueDvt2rLvJURPoH8RDAhHmY?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Licenciada Silvina Giménez, psicología, nutrición","Buenos Aires","Argentina","Av. Rivadavia 5858, C1406 Cdad. Autónoma de Buenos Aires","01125628339","01125628339","https://www.instagram.com/lugardesujeto","https://www.google.com/maps/place/Licenciada+Silvina+Gim%C3%A9nez,+psicolog%C3%ADa,+nutrici%C3%B3n/data=!4m7!3m6!1s0x95bcca44e0d318b9:0xafff083955b25558!8m2!3d-34.6234229!4d-58.4478357!16s%2Fg%2F11g6j7nt8v!19sChIJuRjT4ETKvJURWFWyVTkI_68?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Atención Psicológica Caballito - Niños, Adolescentes, Adultos, Parejas, Orientación Vocacional - Psicología, Psicopedagogía","Buenos Aires","Argentina","Hidalgo 375 PB ""E, C1405BCC Cdad. Autónoma de Buenos Aires","01160490302","01160490302","","https://www.google.com/maps/place/Atenci%C3%B3n+Psicol%C3%B3gica+Caballito+-+Ni%C3%B1os,+Adolescentes,+Adultos,+Parejas,+Orientaci%C3%B3n+Vocacional+-+Psicolog%C3%ADa,+Psicopedagog%C3%ADa/data=!4m7!3m6!1s0x95bccbee781a0f1d:0xb891349bc0f1ce!8m2!3d-34.6149872!4d-58.4393557!16s%2Fg%2F11qbfr6jqz!19sChIJHQ8aeO7LvJURzvHAmzSRuAA?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Dr. Ignacio Rizzo,Phd|Terapia Cognitiva Conductual|Buenos Aires y Virtual","Buenos Aires","Argentina","Av. Rivadavia 5126, C1024CWN Cdad. Autónoma de Buenos Aires","01148705113","01148705113","https://www.drignaciorizzo.com/","https://www.google.com/maps/place/Dr.+Ignacio+Rizzo,Phd%7CTerapia+Cognitiva+Conductual%7CBuenos+Aires+y+Virtual/data=!4m7!3m6!1s0x95bccb29bc1beb05:0x81210858ec35ab53!8m2!3d-34.6191732!4d-58.438026!16s%2Fg%2F11nqf1zztw!19sChIJBesbvCnLvJURU6s17FgIIYE?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"FOST.PSICOLOGIA - CABALLITO","Buenos Aires","Argentina","Formosa 437, C1424 Cdad. Autónoma de Buenos Aires","01166904068","01166904068","https://instagram.com/fost.psicologia?igshid=wjt87oqmgu3h","https://www.google.com/maps/place/FOST.PSICOLOGIA+-+CABALLITO/data=!4m7!3m6!1s0x95bccb83fe6d1cdf:0x8c04d2845b1cefa2!8m2!3d-34.6210975!4d-58.4343682!16s%2Fg%2F11ns7r5hrg!19sChIJ3xxt_oPLvJURou8cW4TSBIw?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Araceli Llebeili – Nutricionista","Córdoba","Argentina","Paraná 561, X5000HXK Córdoba","03855937072","03855937072","https://nutriaracelillebeili.com/","https://www.google.com/maps/place/Araceli+Llebeili+%E2%80%93+Nutricionista/data=!4m7!3m6!1s0x9432a3446f0c828d:0x8d06aab3d1454cd0!8m2!3d-31.424849!4d-64.1801494!16s%2Fg%2F11h2lcg9vd!19sChIJjYIMb0SjMpQR0ExF0bOqBo0?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Nutricionista Nueva Córdoba y Centro","Córdoba","Argentina","Tránsito, Transito Caceres de Allende 480 1°B, 5000 Córdoba","03564604596","03564604596","","https://www.google.com/maps/place/Nutricionista+Nueva+C%C3%B3rdoba+y+Centro/data=!4m7!3m6!1s0x9432a31c17037229:0x8c566122fc220f7d!8m2!3d-31.4244488!4d-64.1774637!16s%2Fg%2F11j7z1cyp6!19sChIJKXIDFxyjMpQRfQ8i_CJhVow?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"NUTRICIÓN ÍNTEGRA – Lic. Tábatha Pagador","Córdoba","Argentina","Independencia 771, X5000IIH Córdoba","0354815630917","0354815630917","http://wa.me/543548630917","https://www.google.com/maps/place/NUTRICI%C3%93N+%C3%8DNTEGRA+%E2%80%93+Lic.+T%C3%A1batha+Pagador/data=!4m7!3m6!1s0x9432a3ea4fb72a15:0x4276d1d120f0fb73!8m2!3d-31.4252152!4d-64.1877616!16s%2Fg%2F11fjtq7qsm!19sChIJFSq3T-qjMpQRc_vwINHRdkI?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Centro Piacere - Centro integral de nutrición, psicología y endocrinología.","Córdoba","Argentina","Ituzaingó 511, X5000 Córdoba","03513296467","03513296467","https://www.centropiacere.com.ar/","https://www.google.com/maps/place/Centro+Piacere+-+Centro+integral+de+nutrici%C3%B3n,+psicolog%C3%ADa+y+endocrinolog%C3%ADa./data=!4m7!3m6!1s0x9432a341da86276d:0xdd65d816402e4db2!8m2!3d-31.4230292!4d-64.1839155!16s%2Fg%2F11yfbhx0nw!19sChIJbSeG2kGjMpQRsk0uQBbYZd0?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Nutri Activate","Córdoba","Argentina","Rivera Indarte 77, X5000JAA Córdoba","03825523105","03825523105","https://nutriactivate.com.ar/","https://www.google.com/maps/place/Nutri+Activate/data=!4m7!3m6!1s0x9432a3a6475cd36f:0x261fbf63950074e2!8m2!3d-31.4146899!4d-64.1850423!16s%2Fg%2F11mkxjnjk4!19sChIJb9NcR6ajMpQR4nQAlWO_HyY?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Odontología Marcos Moreno","Córdoba","Argentina","Bv Elias Yofre 1260 primer piso oficina 9, X5000 Córdoba","03517607589","03517607589","","https://www.google.com/maps/place/Odontolog%C3%ADa+Marcos+Moreno/data=!4m7!3m6!1s0x9432a3692a0d536f:0xcf43f3a6ba6fe31a!8m2!3d-31.451228!4d-64.177287!16s%2Fg%2F11rxl8qnkw!19sChIJb1MNKmmjMpQRGuNvuqbzQ88?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Garden Centros Odontológicos","Córdoba","Argentina","Independencia 244, X5000IUF X5000IUF, Córdoba","03515694848","03515694848","https://www.centrogarden.com.ar/","https://www.google.com/maps/place/Garden+Centros+Odontol%C3%B3gicos/data=!4m7!3m6!1s0x9432a29b295400a1:0x82cf33b19548fd89!8m2!3d-31.418611!4d-64.185343!16s%2Fg%2F1tx8v97v!19sChIJoQBUKZuiMpQRif1IlbEzz4I?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Odontologia Nueva Cordoba","Córdoba","Argentina","Montevideo 15 1er piso Of 3, X5000AWA Córdoba","03513510040","03513510040","http://www.odonuevacordoba.com.ar/","https://www.google.com/maps/place/Odontologia+Nueva+Cordoba/data=!4m7!3m6!1s0x9432a28f4464f74d:0x2145db60d1196ee!8m2!3d-31.4220469!4d-64.1868448!16s%2Fg%2F1q6j2xs2c!19sChIJTfdkRI-iMpQR7pYRDbZdFAI?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Consultorio odontológico en Nueva Córdoba | Sebastián Massouh Odontólogo en Nueva Córdoba","Córdoba","Argentina","Rondeau 547 Loc 5, X5000 Córdoba","03516369888","03516369888","https://rondodent-consultorio-odontologico-en-nueva-cordoba.laguia.online/","https://www.google.com/maps/place/Consultorio+odontol%C3%B3gico+en+Nueva+C%C3%B3rdoba+%7C+Sebasti%C3%A1n+Massouh+Odont%C3%B3logo+en+Nueva+C%C3%B3rdoba/data=!4m7!3m6!1s0x9432a290e712739f:0x7555135dd50b8b61!8m2!3d-31.4242255!4d-64.1791034!16s%2Fg%2F11c3s8hr4t!19sChIJn3MS55CiMpQRYYsL1V0TVXU?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Odontologos en Nueva Córdoba - Bis-Salud","Córdoba","Argentina","B° Nueva, Ituzaingo 270 7to piso Dto ""D, X5000IUN Córdoba","0351155951025","0351155951025","https://bisodontologia.com/odontologos-nueva-cordoba/","https://www.google.com/maps/place/Odontologos+en+Nueva+C%C3%B3rdoba+-+Bis-Salud/data=!4m7!3m6!1s0x9432a3b2e4c2b975:0x8598fdef1f85805f!8m2!3d-31.4207832!4d-64.1827845!16s%2Fg%2F11gm8_1rm_!19sChIJdbnC5LKjMpQRX4CFH-_9mIU?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicólogo Rosario Consultorio","Córdoba","Argentina","Córdoba 1775, S2000JKS Rosario, Santa Fe","0341153116111","0341153116111","https://sites.google.com/view/psicologorosario","https://www.google.com/maps/place/Psic%C3%B3logo+Rosario+Consultorio/data=!4m7!3m6!1s0x95b7ab988f231c6b:0xc1048f67b35bcd33!8m2!3d-32.9448982!4d-60.6474405!16s%2Fg%2F11q_fr20rt!19sChIJaxwjj5irt5URM81bs2ePBME?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicóloga Maria Florencia Marraffini","Córdoba","Argentina","Córdoba 2035, S2000 Rosario, Santa Fe","03415708903","03415708903","","https://www.google.com/maps/place/Psic%C3%B3loga+Maria+Florencia+Marraffini/data=!4m7!3m6!1s0x95b7abfc91517f85:0xeb1e1ae6911173f2!8m2!3d-32.9441464!4d-60.6511978!16s%2Fg%2F11j1w5r8s0!19sChIJhX9Rkfyrt5UR8nMRkeYaHus?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Consultorio Psicología","Córdoba","Argentina","Córdoba 2974, S2000 Rosario, Santa Fe","03415203030","03415203030","","https://www.google.com/maps/place/Consultorio+Psicolog%C3%ADa/data=!4m7!3m6!1s0x95b7ab0d75c370db:0xaba7e9c9383a2910!8m2!3d-32.9417126!4d-60.6637403!16s%2Fg%2F11h6mnh9q2!19sChIJ23DDdQ2rt5URECk6OMnpp6s?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicóloga Karen Clavero","Córdoba","Argentina","Córdoba 1110, S2000 Rosario, Santa Fe","03412726234","03412726234","https://www.instagram.com/psicologa.kclavero","https://www.google.com/maps/place/Psic%C3%B3loga+Karen+Clavero/data=!4m7!3m6!1s0x95b7ab55b3ff8adf:0xe1e296995edea74a!8m2!3d-32.9463814!4d-60.6383642!16s%2Fg%2F11fkcy_04y!19sChIJ34r_s1Wrt5URSqfeXpmW4uE?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Psicóloga Ana Cossetta","Córdoba","Argentina","Italia 867, S2000 Rosario, Santa Fe","02473501006","02473501006","","https://www.google.com/maps/place/Psic%C3%B3loga+Ana+Cossetta/data=!4m7!3m6!1s0x95b7ab363d075db1:0x86b1bec8975df9d6!8m2!3d-32.9454484!4d-60.6479661!16s%2Fg%2F11lgvk87c4!19sChIJsV0HPTart5UR1vldl8i-sYY?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Nutricionista Romina Destéfanis","Córdoba","Argentina","Tristán Malbrán 4177, X5000 Córdoba","0353154282326","0353154282326","http://www.rdnutricioncordoba.com/","https://www.google.com/maps/place/Nutricionista+Romina+Dest%C3%A9fanis/data=!4m7!3m6!1s0x9432996c66655e4b:0xbab28533aacc9d7c!8m2!3d-31.3730469!4d-64.2359757!16s%2Fg%2F11h60f1y_x!19sChIJS15lZmyZMpQRfJ3MqjOFsro?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Lic. Carina Grivarello Nutricionista mat.2189","Córdoba","Argentina","Mariano Larra 3642 1° piso, X5009 AJC, Córdoba","03515189935","03515189935","https://www.instagram.com/grivarellonutricion/","https://www.google.com/maps/place/Lic.+Carina+Grivarello+Nutricionista+mat.2189/data=!4m7!3m6!1s0x943298d84ed37adf:0x9fde6b63f826c352!8m2!3d-31.3824223!4d-64.2318621!16s%2Fg%2F11dyzf06rc!19sChIJ33rTTtiYMpQRUsMm-GNr3p8?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Nutriser | Centro Integral de Nutrición Médica - Córdoba","Córdoba","Argentina","Loza Bravo 3333, X5009 BYC, Córdoba","03518022222","03518022222","https://www.centronutriser.com/","https://www.google.com/maps/place/Nutriser+%7C+Centro+Integral+de+Nutrici%C3%B3n+M%C3%A9dica+-+C%C3%B3rdoba/data=!4m7!3m6!1s0x94329931542cda2f:0x4e29e2f19b8db43a!8m2!3d-31.3824035!4d-64.2228964!16s%2Fg%2F11c0xpllr6!19sChIJL9osVDGZMpQROrSNm_HiKU4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
